TOP,SIGLA,NOME,H5,,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Eventos da Área,ECML,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,45,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=B_DfwWWmEnMJ.2024,,,,https://dblp.org/db/conf/ecml/index.html,
Eventos da Área,WSDM,ACM Conference International Conference on Web Search and Data Mining,77,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=6AbX1YWluE4J.2024,,,,https://dblp.org/db/conf/wsdm/index.html,
Eventos da Área,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,30,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=I9UJ598p80sJ.2024,,,,https://dblp.org/db/conf/pakdd/index.html,
Eventos da Área,BIGDATA,IEEE International Conference on BigData,54,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=5qcbaE0D5owJ.2024,,,,https://dblp.org/db/conf/bigdataconf/index.html,
Eventos da Área,AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,10,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=SD0zxFP7qD4J.2018,,,,https://dblp.org/db/conf/amw/index.html,
Eventos da Área,CIDM,Symposium on Computational Intelligence and Data Mining,12,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=hX0wD_ieYvEJ.2018,,,,https://dblp.org/db/conf/cidm/index.html,
Eventos da Área,DAWAK,International Conference on Big Data Analytics and Knowledge Discovery,12,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ZQqJjlSjnxAJ.2024,,,International Conference on Data Warehousing and Knowledge Discovery,https://dblp.org/db/conf/dawak/index.html,
Eventos da Área,DOLAP,International Workshop On Data Warehousing and OLAP,,,,,,https://dblp.org/db/conf/dolap/index.html,
Eventos da Área,DOCENG,ACM Symposium on Document Engineering,13,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=C6AfMlHpHa0J.2024,,,ACM SIGWEB International Symposium on Document Engineering,https://dblp.org/db/conf/doceng/index.html,
Eventos da Área,ICSOFT,International Conference on Software Technologies,13,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=3zneIArE2G0J.2024,,,,https://dblp.org/db/conf/icsoft/index.html,
Eventos da Área,SSTD,International Symposium on Spatial and Temporal Databases,,,,,,https://dblp.org/db/conf/ssd/index.html,
Eventos da Área,MTSR,International Conference on Metadata and Semantics Research,11,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=nypTAZp7Yo8J.2024,,,,https://dblp.org/db/conf/mtsr/index.html,
Eventos da Área,ICIS,International Conference on Information Systems,39,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=hL4tvEz50McJ.2024,,,,https://dblp.org/db/conf/icis/index.html,
Eventos da Área,AINA,IEEE International Conference on Advanced Information Networking and Applications,21,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=FBp6ksxIdQYJ.2024,,,,https://dblp.org/db/conf/aina/index.html,
Eventos da Área,CAISE,International Conference on Advanced Information Systems Engineering,27,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=5PSS5xHm_KwJ.2024,,,,https://dblp.org/db/conf/caise/index.html,
Eventos da Área,CoopIS,International Conference on Cooperative Information Systems,,,,,,https://dblp.org/db/conf/coopis/index.html,
Eventos da Área,ECIR,European Conference on Information Retrieval,42,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=02SGYBvIz80J.2024,,,,https://dblp.org/db/conf/ecir/index.html,
Eventos da Área,KES,International Conference on Knowledge-Based and Intelligent Information & Engineering Systems,,,,,,https://dblp1.uni-trier.de/db/conf/kes/,
Eventos da Área,WISE,International Conference on Web Information Systems Engineering,18,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=K9DmX5xQU-YJ.2024,,,,https://dblp.org/db/conf/wise/index.html,
Eventos da Área,SOCC,ACM Symposium on Cloud Computing,34,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=o1durVJyeP4J.2024,SOCC,ACM Symposium on Cloud Computing,,https://dblp.org/db/conf/cloud/index.html,
Eventos da Área,APWEB,Asia-Pacific Web Conference,11,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=tStpiOIoPUsJ.2024,,,,https://dblp.org/db/conf/apweb/index.html,
Eventos da Área,IPAW,International Provenance and Annotation Workshop,,,,,,https://dblp.org/db/conf/ipaw/index.html,
Eventos da Área,GEOINFO,Brazilian Symposium on Geoinformatics,5,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=BQO9C9sz1x8J.2024,,,,https://dblp.org/db/conf/geoinfo/index.html,
Eventos da Área,ITSC,IEEE International Conference on Intelligent Transportation Systems,,,,,IEEE Intelligence Transportation Systems Conference,https://dblp.org/db/conf/itsc/index.html,
Eventos da Área,CHIIR,Conference on Human Information Interaction and Retrieval,29,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=quvsYu1EHS0J.2024,,,,https://dblp.org/db/conf/chiir/index.html,
Eventos da Área,KDIR,International Conference on Knowledge Discovery and Information Retrieval,12,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=UDGD1AtMr3UJ.2024,,,,,
Eventos da Área,ICTIR,Conference on the Theory of Information Retrieval,24,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=5XVjTHqnK0AJ.2024,,,International Conference on the Theory of Information Retrieval,https://dblp.org/db/conf/ictir/index.html,
Eventos da Área,DGO,Annual International Conference on Digital Government Research,25,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=109OuuD55eYJ.2024,,,,https://dblp.org/db/conf/dgo/index.html,
Eventos da Área,IRI,IEEE International Conference on Information Reuse and Integration,21,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=Llhi-G0S554J.2024,,,,https://dblp.org/db/conf/iri/index.html,
Eventos da Área,ASONAM,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,28,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=71Q5CJZj-VYJ.2024,,,"International Conference on Advances in Social Networks Analysis and Mining,",https://dblp.org/db/conf/asunam/index.html,
Eventos da Área,ACL,Annual Meeting of the Association for Computational Linguistics,215,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=Y3UjV9bSCxMJ.2024,,,,https://dblp.org/db/conf/acl/index.html,
Eventos da Área,STIL,Brazilian Symposium in Information and Human Language Technology,,,,,,https://dblp.org/db/conf/stil/index.html,https://sol.sbc.org.br/index.php/stil/issue/archive
Eventos da Área,EMNLP,Conference on Empirical Methods in Natural Language Processing,193,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=LqrQjvOguiMJ.2024,,,,https://dblp.org/db/conf/emnlp/index.html,
Eventos da Área,BRASNAM,Brazilian Workshop on Social Network Analysis and Mining,8,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=uCHdYLLURp0J.2024,,,Workshop Brasileiro de Análise de Redes Sociais e Mineração,,https://sol.sbc.org.br/index.php/brasnam
Eventos da Área,SEKE,International Conference on Software Engineering and Knowledge Engineering,14,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=JQUkUFehKJAJ.2024,,,,https://dblp.org/db/conf/seke/index.html,
Eventos da Área,DSW,Dataset Showcase Workshop,,,DSW,Dataset Showcase Workshop,,,https://sol.sbc.org.br/index.php/dsw/issue/archive
Eventos da Área,BreSci,Brazilian e-Science Workshop,,,,,,,https://sol.sbc.org.br/index.php/bresci
Eventos da Área,DOING,Intelligent Data - From Data to Knowledge Workshop,,,DOING,Intelligent Data - From Data to Knowledge Workshop,,https://dblp.org/db/conf/adbis/adbis2023short.html#PrzybylekKHDHKZ23,
Eventos da Área,SOFSEM,International Conference on Current Trends in Theory and Practice of Computer Science,,,,,,https://dblp.org/db/conf/sofsem/index.html,
Eventos da Área,BDCLOUD,International Conference on Big Data and Cloud Computing,4,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=VsEvOEfP6b8J.2024,,,,https://dblp.org/db/conf/bdcloud/index.html,
Eventos da Área,BigDataSE,IEEE International Conference On Big Data Science And Engineering,,,,,,https://dblp.org/db/conf/bigdatase/index.html,
Eventos da Área,BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,18,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=QNSmFsPl6awJ.2024,,,,https://dblp.org/db/conf/bigdataservice/index.html,
Eventos da Área,CLEI,Conferencia Latinoamericana de Informática,11,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ThEGj_a76ZUJ.2024,,,,https://dblp.org/db/conf/clei/index.html,
Eventos da Área,CSBC,Congresso da Sociedade Brasileira de Computação,,,,,,,https://sol.sbc.org.br/index.php/csbc/issue/archive
Eventos da Área,DAMON,International Workshop on Data Management on New Hardware,,,,,,https://dblp.org/db/conf/damon/index.html,
Eventos da Área,DPM,International Workshop on Data Privacy Management,,,,,,,
Eventos da Área,DSAA,IEEE International Conference on Data Science and Advanced Analytics,26,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ZHdJbJwh40EJ.2024,,,,https://dblp.org/db/conf/dsaa/index.html,
Eventos da Área,EJC,International Conference on Information Modeling and Knowledge,7,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=pgJ4wuBAmi8J.2024,,,,https://dblp.org/db/conf/ejc/index.html,
Eventos da Área,FAST,USENIX Conference on File and Storage Technologies,39,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=9iQfffNlIeAJ.2024,,,Conference on File and Storage Technologies (FAST),https://dblp.org/db/conf/fast/index.html,
Eventos da Área,IC3K,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",10,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=vt63wi0KkScJ.2024,,,,https://dblp.org/db/conf/ic3k/index.html,
Eventos da Área,KR,International Conference on Principles of Knowledge Representation and Reasoning,23,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=mK5NIOh7kkEJ.2024,,,,https://dblp.org/db/conf/kr/index.html,
Eventos da Área,LDAV,IEEE Symposium on Large Data Analysis and Visualization,,,,,,https://dblp.org/db/conf/ldav/index.html,
Eventos da Área,SIMBig,Annual International Symposium on Information Management and Big Data,8,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=PSE2-0BFoDQJ.2024,,,,https://dblp.org/db/conf/simbig/index.html,
Eventos da Área,SNAA,Workshop on Social Network Analysis in Applications,,,,,,,
Eventos da Área,ONTOBRAS,Seminar on Ontology Research in Brazil,6,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=xUT2Pv_FWpIJ.2024,,,Seminário de Pesquisa em Ontologias no Brasil,https://dblp.org/db/conf/ontobras/index.html,
Eventos da Área,FOIS,International Conference on Formal Ontology in Information Systems,,,,,Formal Ontology in Information Systems,https://dblp.org/db/conf/fois/index.html,
Eventos da Área,SPIRE,International Symposium on String Processing and Information Retrieval,13,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=XnbofvWLXMEJ.2024,,,,https://dblp.org/db/conf/spire/index.html,
Eventos da Área,FOMI,International Workshop on Formal Ontologies Meet Industry,11,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ioogpST64ngJ.2024,FOMI,International Workshop on Formal Ontologies Meet Industry,,https://dblp.org/db/conf/fomi/index.html,
