TOP,SIGLA,NOME,H5/h-index,GOOGLE METRICS LINK,Nova Sigla,Novo Nome,Nome Alternativo,Link da DBLP,Link da SOL
Eventos da Área,BotSE,International Workshop on Bots in Software Engineering,10,https://scholar.google.com/scholar?q=source%3AInternational+source%3AWorkshop+source%3Aon+source%3ABots+source%3Ain+source%3ASoftware+source%3AEngineering&hl=en&as_sdt=0%2C3&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/botse-ws/index.html,
Eventos da Área,OpenSym,International Symposium on Open Collaboration,10,https://scholar.google.com/scholar?q=source%3AInternational+source%3ASymposium+source%3AOpen+source%3ACollaboration&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/wikis/index.html,
Eventos da Área,OSS,International Conference on Open Source Systems,12,https://scholar.google.com/scholar?q=source%3AInternational+source%3AConference+source%3AOpen+source%3ASource+source%3ASystems&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/oss/index.html,
Eventos da Área,QUATIC,International Conference on Quality of Information and Communications Technology,14,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=p7mJ2vt7AdAJ.2024,,,,https://dblp.org/db/conf/quatic/index.html,
Eventos da Área,SSBSE,International Symposium on Search Based Software Engineering,11,https://scholar.google.com/scholar?q=source%3AInternational+source%3ASymposium+source%3ASearch+source%3ABased+source%3ASoftware+source%3AEngineering&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/ssbse/index.html,
Eventos da Área,VISSOFT,IEEE Working Conference on Software Visualization,10,https://scholar.google.com/scholar?q=source%3AIEEE+source%3AWorking+source%3AConference+source%3ASoftware+source%3AVisualization&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/vissoft/index.html,
Eventos da Área,ICSOFT,International Conference on Software Technologies,13,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=3zneIArE2G0J.2024,,,International Joint Conference on Software Technologies (ICSOFT),https://dblp.org/db/conf/icsoft/index.html,
Eventos da Área,ICSR,International Conference on Software Reuse,9,https://scholar.google.com/scholar?q=source%3AInternational+source%3AConference+source%3ASoftware+source%3AReuse&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/icsr/index.html,
Eventos da Área,SLE,ACM SIGPLAN International Conference on Software Language Engineering,11,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024&q=source%3AInternational+source%3AConference+source%3ASoftware+source%3ALanguage+source%3AEngineering&btnG=,,,,https://dblp.org/db/conf/sle/index.html,
Eventos da Área,ICSOB,International Conference on Software Business,13,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=lySJ7rWrE4EJ.2024,,,,https://dblp.org/db/conf/icsob/index.html,
Eventos da Área,GPCE,ACM International Conference on Generative Programming: Concepts and Experiences,10,https://scholar.google.com/scholar?q=source%3AInternational+source%3AConference+source%3AGenerative+source%3AProgramming+source%3AConcepts+source%3AExperiences&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/gpce/index.html,
Eventos da Área,SESoS,International Workshop on Software Engineering for Systems-of-Systems,5,https://scholar.google.com/scholar?q=source%3AInternational+source%3AWorkshop+source%3Aon+source%3ASoftware+source%3AEngineering+source%3Afor+source%3ASystems-of-Systems&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems,,https://dblp.org/db/conf/sessos/index.html,
Eventos da Área,MODRE,International Model-Driven Requirements Engineering,16,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024&q=source%3AInternational+source%3ARequirements+source%3AEngineering+source%3AConference+source%3AWorkshops+source%3AREW&btnG=,,,,https://dblp.org/rec/conf/re/2023w.html,
Eventos da Área,ISTAR,International i*Workshop,3,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024&q=source%3Aistar&btnG=,,,istar,https://dblp.org/db/conf/istar/index.html,
Eventos da Área,SER&IP,IEEE/ACM International Workshop on Software Engineering Research and Industrial Practice,7,https://scholar.google.com/scholar?q=source%3AInternational+source%3AWorkshop+source%3Aon+source%3ASoftware+source%3AEngineering+source%3AResearch+source%3Aand+source%3AIndustrial+source%3APractice&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/serip-ws/index.html,
Eventos da Área,WDES,"Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems",3,https://scholar.google.com.br/scholar?q=source%3AWorkshop+source%3Aon+source%3ADistributed+source%3ASoftware+source%3ADevelopment&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/sessos/index.html,
Eventos da Área,WBMA,Workshop Brasileiro de Métodos Ágeis,2,https://scholar.google.com/scholar?q=source%3ABrazilian+source%3AWorkshop+source%3AAgile+source%3AMethods&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/wbma/index.html,
Eventos da Área,CAIN,International Conference on AI Engineering – Software Engineering for AI,13,https://scholar.google.com/scholar?q=source%3Ainternational+source%3AConference+source%3Aon+source%3AAI+source%3AEngineering&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,https://dblp.org/db/conf/cain/index.html,
Eventos da Área,ICTSS,International Conference on Testing Software and Systems,7,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024&q=source%3AInternational+source%3AConference++source%3ATesting+Software+source%3Aand+source%3ASystems&btnG=,,,,https://dblp.org/db/conf/pts/index.html,
Eventos da Área,SEH,International Workshop on Software Engineering in Healthcare,5,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024&q=source%3AInternational+source%3AWorkshop+source%3ASoftware+source%3AEngineering+source%3AHealthcare&btnG=,,,,https://dblp.org/db/conf/icse-seh/index.html,
Eventos da Área,ERES,Escola Regional de Engenharia de Software,4,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=C22vC1PK4EMJ.2024,,,Anais da IV Escola Regional de Engenharia de Software,,https://sol.sbc.org.br/index.php/eres/issue/archive
Eventos da Área,CBSoft,Brazilian Conference on Software: Theory and Practice,5,https://scholar.google.com/citations?hl=en&view_op=search_venues&vq=cbsoft&btnG=,,,Congresso Brasileiro de Software: Teoria e Prática (CBSoft),,https://sol.sbc.org.br/index.php/cbsoft
Eventos da Área,MSSiS,Workshop de Modelagem e Simulação de Sistemas Intensivos em Software,3,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024&q=source%3AModelagem+source%3ASimula%C3%A7%C3%A3o+source%3ASistemas+source%3AIntensivos+source%3ASoftware&btnG=,,,,,https://sol.sbc.org.br/index.php/mssis/issue/archive
Eventos da Área,ISE,Workshop Brasileiro de Engenharia de Software Inteligente,3,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024&q=source%3AWorkshop+source%3ABrasileiro+source%3AEngenharia+source%3ASoftware+source%3AInteligente&btnG=,,,,,https://sol.sbc.org.br/index.php/ise/issue/archive
Eventos da Área,OpenScienSE,Workshop de Práticas de Ciência Aberta para Engenharia de Software,3,https://scholar.google.com/scholar?q=source%3AWorkshop+source%3APr%C3%A1ticas+source%3ACi%C3%AAncia+source%3AAberta+source%3AEngenharia+de+Software%21&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,,https://sol.sbc.org.br/index.php/opensciense/issue/archive
Eventos da Área,Latinoware,Congresso Latino-Americano de Software Livre e Tecnologias Abertas,3,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=TDrrbM20a5oJ.2024,,,XX Congresso Latino-Americano de Software Livre e Tecnologias Abertas,,https://sol.sbc.org.br/index.php/latinoware/issue/archive
Eventos da Área,QRS,"IEEE International Conference on Software Quality, Reliability, and Security",23,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=4diVe5BwiNAJ.2024,,,"IEEE International Conference on Software Quality, Reliability and Security Companion",https://dblp.org/db/conf/qrs/index.html,
Eventos da Área,AIware,ACM International Conference on AI-powered Software ,1,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&q=source%3AACM+source%3AInternational+source%3AConference+on+source%3AAI-powered+source%3ASoftware&btnG=,,,,https://dblp.org/db/conf/aiware/index.html,
Eventos da Área,WASHES,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software",4,https://scholar.google.com/scholar?q=source%3AWorkshop+source%3Asobre+source%3AAspectos+source%3ASociais+source%3AHumanos+source%3Ae+source%3AEcon%C3%B4micos+source%3Ade+source%3ASoftware&hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024,,,,,https://sol.sbc.org.br/index.php/washes/issue/archive
Eventos da Área,SBMF,Brazilian Symposium on Formal Methods,5,https://scholar.google.com/scholar?hl=pt-BR&as_sdt=0%2C5&as_ylo=2020&as_yhi=2024&q=source%3ABrazilian+source%3ASymposium+on+source%3AFormal+source%3AMethods&btnG=,,,,https://dblp.org/db/conf/sbmf/index.html,https://sol.sbc.org.br/index.php/sbmf
Eventos da Área,RCIS,International Conference on Research Challenges in Information Science,18,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=yxUYnK6YD7QJ.2024,,,,https://dblp.org/db/conf/rcis/index.html,
Eventos da Área,ECOOP,European Conference on Object-Oriented Programming,19,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=QHz4g2YxOYgJ.2024,,,European Conference on Object-oriented Programming (ECOOP),https://dblp.org/db/conf/ecoop/index.html,
Eventos da Área,OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",65,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=aabcDmqMOP8J.2024,,,Proceedings of the ACM on Programming Languages,https://dblp.org/db/conf/oopsla/index.html,
Eventos da Área,ER,International Conference on Conceptual Modeling,20,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=wB6WaEpFlvgJ.2024,,,,https://dblp.org/db/conf/er/index.html,
Eventos da Área,CAISE,International Conference on Advanced Information Systems Engineering,27,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=5PSS5xHm_KwJ.2024,,,,https://dblp.org/db/conf/caise/index.html,
Eventos da Área,HICSS,Hawaii International Conference on System Sciences,56,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=6wBd043QhTIJ.2024,,,,https://dblp.org/db/conf/hicss/index.html,
Eventos da Área,SBSI,Simpósio Brasileiro de Sistemas de Informação,11,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=Uj60OIiJKkQJ.2024,,,Brazilian Symposium on Information Systems,https://dblp.org/db/conf/sbsi/index.html,https://sol.sbc.org.br/index.php/sbsi
Eventos da Área,ICIS,International Conference on Information Systems,12,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=QvuNH62riE0J.2024,,,IEEE/ACIS International Conference on Computer and Information Science ICIS,https://dblp.org/db/conf/ACISicis/index.html,
Eventos da Área,VLHCC,IEEE Symposium on Visual Languages and Human-Centric Computing,18,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=PDH_h8gpFWsJ.2024,,,,https://dblp.org/db/conf/vl/index.html,
Eventos da Área,CLEI,Conferencia Latinoamericana de Informática / Conferencia Latinoamericana En Informatica,11,https://scholar.google.com.br/citations?hl=pt-PT&view_op=list_hcore&venue=ThEGj_a76ZUJ.2024,,,Conferencia Latinoamericana En Informatica (CLEI),https://dblp.org/db/conf/clei/index.html,
