Sigla,Nome do evento,Sociedade
ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,
ANSS,Annual Simulation Symposium,
ANT,"International Conference on Ambient Systems, Networks and Technologies",
ANTS,IEEE International Conference on Advanced Networks and Telecommuncations Systems,
APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,
APKC,ACM on ASIA Public-Key Cryptography Workshop,
APLAS,Asian Symposium on Programming Languages and Systems,
APNOMS,Asia-Pacific Network Operations and Management Symposium,
APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,
APWEB,Asia-Pacific Web Conference,
ARC,International Symposium on Applied Reconfigurable Computing,
ARCS,International Conference on Architecture of Computing Systems,
ARES,"International Conference on Availability, Reliability and Security",
ARIC,International Workshop on Intelligent and Resilient Cities,
ARM,Workshop on Adaptive and Reflective Middleware,
ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts,
ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors",
ASE,IEEE/ACM International Conference on Automated Software Engineering,
ASIACCS,"ACM ASIA Symposium on Information, Computer and Communications Security",
ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security,
ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",
ASMS,Advanced Satellite Multimedia Systems Conference,
ASONAM,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,
ASP-DAC,Asia and South Pacific Design Automation Conference,
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,
ASPRS,Annual Conference and International Lidar Mapping Forum,
ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,
AST,IEEE/ACM International Workshop on Automation of Software Testing,
ASWEC,Australasian Software Engineering Conference,
ASYNC,IEEE International Symposium on Asynchronous Circuits and Systems,
ATC,USENIX Annual Technical Conference,
Atech,International Conference on Agreement Technologies,
ATS,Asian Test Symposium,
ATT,International Workshop on Agents in Traffic and Transportation,
AUDIOMOSTLY,Audio Mostly Conference,
AusDM,Australasian Data Mining Conference,
AVI,International Working Conference on Advanced Visual Interfaces,
AVSS,IEEE International Conference on Advanced Video and Signal Based Surveillance,
BCB,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",
BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,
BDCAT,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",
BDCLOUD,International Conference on Big Data and Cloud Computing,
BENCH,"International Symposium on Benchmarking, Measuring and Optimization",
BESC,"International Conference on Behavior, Economic and Social Computing",
BIATA,Bioinformatics: from Algorithms to Applications,
BIBE,IEEE International Conference on BioInformatics and BioEngineering,
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,
BICT,EAI International Conference on Bio-inspired Information an Communications Technologies,
BIGDATA,IEEE International Conference on Big Data,
BigDataSE,IEEE International Conference On Big Data Science And Engineering,
BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,
BIGDSE,IEEE/ACM International Workshop on Big Data Software Engineering,
BigSpatial,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,
BioCOMP-WC,International Conference on Bioinformatics & Computational Biology,
BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,
BIOSENSORS,World Congress on Biosensors,
BIS,International Conference on Business Information Systems,
BLACKSEACOM,IEEE International Black Sea Conference on Communications and Networking,
BLOCKCHAIN,IEEE International Conference on Blockchain,
BMEI,International Conference BioMedical Engineering and Informatics,
BMVC,British Machine Vision Conference,
BPM,International Conference on Business Process Management,
BPMS2,Workshop on Social and Human Aspects of Business Process Management,
BRACIS,Brazilian Conference on Intelligent Systems,
BRAHUR,Brazilian Humanoid Robot Workshop,
BRAINS,"Blockchain, Robotics and AI for Networking Security Conference",
BRASERO,Brazilian Workshop on Service Robotics,
BRASNAM,Brazilian Workshop on Social Network Analysis and Mining,
BRESCI,Brazilian e-Science Workshop,
BSB,Brazilian Symposium on Bioinformatics,
BSN,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,
BTAS,"IEEE International Conference on Biometrics: Theory, Applications, and Systems",
C&T,International Conference on Communities and Technologies,
C4BIE,"International Workshop on Cloud for Business, Industry and Enterprises",
CAD,International CAD Conference,
CADE,International Conference on Automated Deduction,
CAIP,International Conference on Computer Analysis of Images and Patterns,
CAISE,International Conference on Advanced Information Systems Engineering,
CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,
CAMAD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,
CANDAR,International Symposium on Computing and Networking,
CANS,International Conference on Cryptology and Network Security,
CAPSI,Conferência da Associação Portuguesa de Sistemas de Informação,
CARLA,Latin America High Performance Computing Conference,
CASA,Conference on Computer Animation and Social Agents,
CASCON,Annual International Conference on Computer Science and Software Engineering,
CASE,IEEE Conference on Automation Science and Engineering,
CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",
CATA,International Conference on Computers and their Applications,
CATE,Computers and Advanced Technology in Education,
CAV,International Conference on Computer Aided Verification,
CBA,Congresso Brasileiro de Automática,
CBEB,Congresso Brasileiro de Engenharia Biomédica,
CBI,IEEE Conference on Business Informatics,
CBIC,Congresso Brasileiro de Inteligência Computacional,
CBIS,Congresso Brasileiro de Informática em Saúde,
CBMI,International Workshop on Content-Based Multimedia Indexing,
CBMS,International Symposium on Computer-Based Medical Systems,
CBS,IEEE International Conference on Cyborg and Bionic Systems,
CBSF,Congresso Brasileiro de Sistemas Fuzzy,
CBSoft,Brazilian Conference on Software: Theory and Practice,
CBTMS,Congresso Brasileiro de Telemedicina e Telesaúde,
CC,International Conference on Compiler Construction,
CCC,IEEE Conference on Computational Complexity,
CCCG,Canadian Conference on Computational Geometry,
CCECE,Canadian Conference on Electrical and Computer Engineering,
CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",
CCNC,Annual IEEE Consumer Communications & Networking Conference,
CCS,ACM Symposium on Computer and Communications Security,
CCSI,Workshop on Core Computations on Spatial Information,
CDC,IEEE Conference on Decision and Control,
CDH,International Conference on Digital Health,
CDVE,"International Conference on Cooperative Design, Visualization, and Engineering",
CEC,IEEE Congress on Evolutionary Computation,
CECC,Central European Cybersecurity Conference,
CELDA,Cognition and Exploratory Learning in Digital Age,
CENTERIS,Conference on ENTERprise Information Systems,
CESI,International Workshop on Conducting Empirical Studies in Industry,
CF,ACM International Conference on Computing Frontiers,
CGI,Computer Graphics International Conference,
CGO,International Symposium on Code Generation and Optimization,
CHASE,International Workshop on Cooperative and Human Aspects of Software Engineering,
CHES,Conference on Cryptographic Hardware and Embedded Systems,
CHI,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,
CHIIR,Conference on Human Information Interaction and Retrieval,
CHIPlay,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,
CIAC,International Conference on Algorithms and Complexity,
CIARP,Iberoamerican Congress on Pattern Recognition,
CIBCB,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,
CIbSE,Conferencia Iberoamericana de Software Engineering,
CIC,International Conference on Collaboration and Internet Computing,
CICC,IEEE Custom Integrated Circuits Conference,
CICLING,International Conference on Intelligent Text Processing and Computational Linguistics,
CIDI,Congresso Internacional de Design da Informação,
CIDM,Symposium on Computational Intelligence and Data Mining,
CIDR,Biennial Conference on Innovative Data Systems Research,
CIG,IEEE Conference on Computational Intelligence and Games,
CIKM,ACM International Conference on Information and Knowledge Management,
CILAMCE,Iberian Latin American Congress on Computational Methods,
CISCI,"Conferencia Iberoamericana en Sistemas, Cibernética e Informática",
CISIS,"International Conference on Complex, Intelligent, and Software Intensive Systems",
CISTI,Iberian Conference on Information Systems and Technologies,
CIT,IEEE International Conference on Computer and Information Technology,
CITS,"International Conference on Computer, Information, and Telecommunication Systems",
CL,Corpus Linguistics Conference,
CLAIO,Latin-Ibero-American Conference on Operations Research,
CLEF,Conference and Labs of the Evaluation Forum,
CLEI,Conferencia Latinoamericana de Informática,
CLIHC,Latin American Conference on Human Computer Interaction,
CLOSER,International Conference on Cloud Computing and Services Science,
CLOUD,IEEE International Conference on Cloud Computing,
CloudCom,IEEE International Conference on Cloud Computing Technology and Science,
CLOUDCOMPUTING-IARIA,"IARIA International Conference on Cloud Computing, GRIDs, and Virtualization",
CLOUDDB,IEEE International workshop on Cloud data management,
CloudNet,IEEE International Conference on Cloud Networking,
CLOUDTECH,International Conference on Cloud Computing Technologies and Applications,
CLUSTER,IEEE International Conference on Cluster Computing,
CMMR,International Symposium on Computer Music Multidisciplinary Research,
CMN,Congress on Numerical Methods in Engineering,
CNMAC,Congresso Nacional de Matemática Aplicada e Computacional,SBMAC
CNS,IEEE Conference on Communications and Network Security,
CNSM,International Conference on Network and Service Management,
CoARCH,Workshop On Computing Techniques For Spatio-Temporal Data in Archaeology And Cultural Heritage,
COCOA,International Conference on Combinatorial Optimization and Applications,
COCOON,International Computing and Combinatorics Conference,
CODASPY,ACM Conference on Data and Application Security and Privacy,
CODES+ISS,IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis,
COG,IEEE Conference on Games,
COGNISE,International Workshop on Cognitive Aspects of Information Systems Engineering,
COGSCI,Annual Meeting of the Cognitive Science Society,
CogSIMA,IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support,
ColCACI,IEEE Colombian Conference on Applications in Computational Intelligence,
COLING,International Conference on Computational Linguistics,
CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",
CollabTech,International Conference on Collaboration Technologies and Social Computing,
COLT,Conference on Learning Theory,
CoMeSySo,Computational Methods in Systems and Software,
COMMA,International Conference on Computational Models of Argument,
COMPSAC,IEEE Computer Software and Applications Conference,
COMSNETS,International Conference on Communication Systems & NetworkS,
COMSOC,International Workshop on Computational Social Choice,
CONCUR,International Conference on Concurrency Theory,
CONEXT,Conference on Emerging Network Experiment and Technology,
CONFIRM,International Conference on Information Resources Management,
CONISOFT,International Conference in Software Engineering Research and Innovation,
CoNLL,Conference on Natural Language Learning,
CONTECSI,International Conference on Information Systems and Technology Management,
CONTEXT-BPM,International Workshop on Context for Business Process Management,
CONTROLO,APCA International Conference on Automatic Control and Soft Computing,
CoopIS,International Conference on Cooperative Information Systems,
CoRL,Conference on Robot Learning,
COSIT,International Conference on Spatial Information Theory,
COSN,Conference on Online Social Networks,
COURB,Workshop of Urban Computing,
CP,International Conference on Principles and Practice of Constraint Programming,
CPM,Annual Symposium on Combinatorial Pattern Matching,
CPP,International Conference on Certified Programs and Proofs,
CRIWG,International Workshop on Groupware,
CrownCom,International Conference on Cognitive Radio Oriented Wireless Networks,
CRV,Canadian Conference on Computer and Robot Vision,
CRYPTO,International Cryptology Conference,
CSBC,Congresso da Sociedade Brasileira de Computação,
CSBIO,International Conference on Computational Systems-Biology and Bioinformatics,
CSCL,International Conference on Computer Supported Collaborative Learning,
CSCN,IEEE Conference on Standards for Communications and Networking,
CSCW,ACM Conference on Computer Supported Cooperative Work & Social Computing,
CSCWD,IEEE International Conference on Computer Supported Cooperative Work in Design,
CSDS,Conference of the System Dynamics Society,
CSE,International Conference on Computational Science and Engineering,
CSEDU,International Conference on Computer Supported Education,
CSEE&T,Conference on Software Engineering Education and Training,
CSF,IEEE Computer Security Foundations Symposium,
CSI-SE,International Workshop on Crowdsourcing in Software Engineering,
CSL,Conference for Computer Science Logic,
CSMC,Conference on Computer Simulation of Musical Creativity,
CSNDSP,"International Symposium on Communication Systems, Networks and Digital Signal Processing",
CSNet,Cyber Security in Networking Conference,
CSOUND,International CSound Conference,
CTE,International Conference on Computational Thinking Education,
CTS,International Conference on Collaboration and Technology,
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,
CVPRW,IEEE Conference on Computer Vision and Pattern Recognition Workshops,
CyberSA,"International Conference on Cyber Situational Awareness, Data Analytics and Assessment",
CyberSecurity,International Conference on Cyber Security And Protection Of Digital Services,
DAC,Design Automation Conference,
DAFX,International Conference on Digital Audio Effects,
DAMON,International Workshop on Data Management on New Hardware,
DARS,International Symposium on Distributed Autonomous Robotic Systems,
DASC,"IEEE International Conference on Dependable, Autonomic & Secure Computing",
DASFAA,International Conference on Database Systems for Advanced Applications,
DASIP,Conference on Design and Architectures for Signal and Image Processing,
DATA,"International Conference on Data Science, Technology and Applications",
DATAANALYTICS-IARIA,IARIA International Conference on Data Analytics,
DATE,"Design, Automation and Test in Europe Conference and Exhibition",
DAWAK,International Conference on Big Data Analytics and Knowledge Discovery,
DBKD-AIARIA,"IARIA International Conference on Advances in Databases, Knowledge, and Data Applications",
DBSec,IFIP WG 11.3 Conference on Data and Applications Security and Privacy,
DCAI,International Symposium on Distributed Computing and Artificial Intelligence,
DCASE,Workshop on Detection and Classification of Acoustic Scenes and Events,
DCC,Data Compression Conference,
DCOSS,International Conference on Distributed Computing in Sensor Systems,
DDECS,IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems,
DEBS,International Conference on Distributed and Event-Based Systems,
DEPCOS,International Conference on Dependability and Complex Systems,
DESAFIE,Workshop de Desafios da Computação Aplicada à Educação,
DEXA,International Conference on Database and Expert Systems Applications,
DFT,IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems,
DGCI,Discrete Geometry for Computer Imagery,
DGO,Annual International Conference on Digital Government Research,
DH,Digital Heritage,
DIGRA,Digital Games Research Association International Conference,
DILS,International Conference on Data Integration in Life Sciences,
DIMVA,"International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",
DIS,Conference on Designing Interactive Systems,
DISC,International Symposium on Distributed Computing,
DIVANET,ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications,
DL,International Workshop on Description Logics,
DLS,Dynamic Languages Symposium,
DMA,International Conference on Data Mining and Applications,
DMSVIVA,International DMS Conference on Visualization and Visual Languages,
DOCENG,ACM Symposium on Document Engineering,
DOLAP,International Workshop On Data Warehousing and OLAP,
DPM,International Workshop on Data Privacy Management,
DRCN,International Conference on the Design of Reliable Communication Networks,
DS,International Conference on Discovery Science,
DS-RT,IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications,
DSAA,IEEE International Conference on Data Science and Advanced Analytics,
DSAI,International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion,
DSC,IEEE Conference on Dependable and Secure Computing,
DSD,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools",
DSN,Annual IEEE/IFIP International Conference on Dependable Systems and Networks,
DSNW,IEEE International Conference on Dependable Systems and Networks Workshops,
DSP,International Conference on Digital Signal Processing,
DTIS,Design & Technology of Integrated Systems in Nanoscale Era,
DySPAN,IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks,
EACL,Conference of the European Chapter of the Association for Computational Linguistics,
EASE,International Conference on Evaluation and Assessment in Software Engineering,
EATIS,Euro American Conference on Telematics and Information Systems,
EC,ACM conference on Economics and Computation,
EC-TEL,European Conference on Technology Enhanced Learning,
ECAI,European Conference on Artificial Intelligence,
ECASE,IEEE/ACM International Workshop on Establishing the Community-Wide Infrastructure for Architecture-Based Software Engineering,
ECC,European Control Conference,
ECCTD,European Conference on Circuit Theory and Design,
ECCV,European Conference on Computer Vision,
ECIR,European Conference on Information Retrieval,
ECIS,European Conference on Information Systems,
ECML,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,
ECMR,European Conference on Mobile Robots,
ECMS,European Conference on Modelling and Simulation,
ECOOP,European Conference on Object-Oriented Programming,
ECRTS,Euromicro Conference on Real-Time Systems,
ECSA,European Conference on Software Architecture,
ECSCW,European Conference on Computer Supported Cooperative Work,
ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,
EDBT,International Conference on Extending Database Technology,
EDCC,European Dependable Computing Conference,
EDGE,International Conference on Edge Computing,
EDM,International Conference on Educational Data Mining,
EDOC,IEEE International Enterprise Distributed Object Computing Conference,
EDUCOMP,Simpósio Brasileiro de Educação em Computação,
EDUCON,IEEE Global Engineering Education Conference,
EECS,European Conference on Electrical Engineering and Computer Science,
EEEWC,"International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government",
EGOV,International Conference on Electronic Government,
EGOV-CEDEM-EPART,International Conference on Electronic Government/International Conference for E-Democracy and Open Government,
EGOVIS,International Conference on Electronic Government and the Information Systems Perspective,
EICS,ACM SIGCHI Symposium on Engineering Interactive Computing Systems,
EIT,International Conference on Electro Information Technology,
EJC,International Conference on Information Modeling and Knowledge,
EM-GIS,International Workshop on the Use of GIS in Emergency Management,
EMAS,International Workshop on Engineering Multiagent Systems,
EMBC,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,
EMBS,IEEE-EMBS International Conference on Biomedical and Health Informatics,
EMNLP,Conference on Empirical Methods in Natural Language Processing,
EMO,International Conference on Evolutionary Multi-Criterion Optimization,
EMSOFT,ACM International Conference on Embedded Software,
ENANPAD,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração,
ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering,
ENCP,ACM CoNEXT Workshop on Emerging in-Network Computing Paradigms,
ENIAC,Encontro Nacional de Inteligencia Artificial e Computacional,
EPIA,Portuguese Conference on Artificial Intelligence,
ER,International Conference on Conceptual Modeling,
Ergodesign,Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Tecnológica,
ESA,European Symposium on Algorithms,
ESANN,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",
ESCIENCE,IEEE International Conference on e-Science,
ESELAW,Workshop Latinoamericano de Ingeniería de Software Experimental,
ESEM,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,
ESOCC,European Conference on Service-Oriented and Cloud Computing,
ESOP,European Symposium on Programming,
ESORICS,European Symposium on Research in Computer Security,
ESSCIRC,European Solid State Circuits Conference,
ESSDERC,European Solid State Device Research Conference,
ESWC,Extended Semantic Web Conference,
ESWS,European Semantic Web Conference,
ETC,Encontro de Teoria da Computação,
ETFA,IEEE International Conference on Emerging Technologies and Factory Automation,
ETRA,ACM Symposium on Eye Tracking Research & Applications,
ETS,IEEE European Test Symposium,
EUC,IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing,
EuCNC,European Conference on Networks and Communications,
EUMAS,European Conference on Multi-Agent Systems,
EURO,European Conference on Operational Research,
EUROCOMB,"European Conference on Combinatorics, Graph Theory and Applications",
EUROCRYPT,International Conference on Theory and Applications of Cryptographic Techniques,
EUROGRAPHICS,European Association for Computer Graphics,
EUROHAPTICS,Eurohaptics,
EuroMPI,European MPI Users Group Meeting,
EUROPAR,European Conference on Parallel Computing,
EuroPloP,European Conference on Pattern Languages of Programs,
EuroSPI,European Conference on Software Process Improvement,
EUROSYS,European Conference on Computer Systems,
EuroVis,EG/VGTC Conference on Visualization,
EUSFLAT,Conference of the European Society for Fuzzy Logic and Technology,
EUSIPCO,European Signal Processing Conference,
EVOAPPLICATIONS,European Conference on the Applications of Evolutionary Computation,
EVOCOP,European Conference on Evolutionary Computation in Combinatorial Optimization,
EWC,Embedded Word Conference,
EWSDN,European Workshop on Software Defined Networks,
EWSN,European Conference on Wireless Sensor Networks,
EXP.AT,Experiment@ International Conference,
FACS,International Conference on Formal Aspects of Component Software,
FASE,International Conference on Fundamental Approaches to Software Engineering,
FAST,USENIX Conference on File and Storage Technologies,
FC,International Conference on Financial Cryptography and Data Security,
FCCM,IEEE Annual International Symposium on Field-Programmable Custom Computing Machines,
FCT,International Symposium on Fundamentals of Computation Theory,
FCTA,International Conference on Fuzzy Computation Theory and Applications,
FDG,Foundations of Digital Games,
FDL,Forum on Specification and Design Languages,
FECS,International Conference on Frontiers in Education: Computer Science and Computer Engineering,
FEDCSIS,Federated Conference on Computer Science and Information Systems,
FGR,IEEE International Conference on Automatic Face and Gesture Recognition,
FiCloud,International Conference on Future Internet of Things and Cloud,
FIE,IEEE Frontiers in Education Conference,
FIT,International Conference on Forntiers of Information Technology,
FLAIRS,International Florida Artificial Intelligence Conference,
FLOPS,International Symposium on Functional and Logic Programming,
FM,International Symposium on Formal Methods,
FMCAD,International Conference on Formal Methods in Computer-Aided Design,
FOCS,IEEE Annual Symposium on Foundations of Computer Science,
FOIS,International Conference on Formal Ontology in Information Systems,
FormaliSE,International Conference on Formal Methods in Software Engineering,
FOSD,International Workshop on Feature-Oriented Software Development,
FoSSaCS,International Conference on Foundations of Software Science and Computation Structures,
FPGA,Symposium on Field Programmable Gate Arrays,
FPL,International Conference on Field-Programmable Logic and Applications,
FPT,IEEE International Conference on Field-Programmable Technology,
FROCOS,International Symposium on Frontiers of Combining Systems,
FSCD,International Conference on Formal Structures for Computation and Deduction,
FSE,Fast Software Encryption,
FSE/ESEC,Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering,
FSEN,International Conference on Fundamentals of Software Engineering,
FSR,Conference on Field and Service Robotics,
FTC,Future Technologies Conference,
FUN,International Conference on Fun with Algorithms,
FUSION,International Conference on Information Fusion,
FUZZ,IEEE International Conference on Fuzzy Systems,
GameSec,Conference on Decision and Game Theory for Security,
GAS,International Workshop on Games and Software Engineering,
GbRPR,International Workshop on Graph-Based Representations in Pattern Recognition,
GECCO,Genetic and Evolutionary Computation Conference,
GECON,"International Conference on Economics of Grids, Clouds, Systems and Services",
GEFI,Global Experimentation for Future Internet,
GEM,"IEEE Games, Entertainment, Media Conference",
GeoAI,International Workshop on AI for Geographic Knowledge Discovery,
GEOBIA,Geographic Object-based Image Analysis,
GEOINFO,Brazilian Symposium on GeoInformatics,
GeoPROCESSING-IARIA,"IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services",
GeoSim,International Workshop on Geospatial Simulation,
GI,Graphics Interface Conference,
GIIS,Global Information Infrastructure and Networking Symposium,
GIR,Workshop on Geographic Information Retrieval,
GIScience,International Conference on Geographic Information Science,
GLOBALSIP,Global Conference on Signal and Information Processing,
GLOBECOM,IEEE Global Communications Conference,
GLSVLSI,Great Lakes Symposium on VLSI,
GPC,International Conference on Grid And Pervasive Computing,
GPCE,ACM International Conference on Generative Programming: Concepts and Experiences,
GRAPP,International Conference on Computer Graphics Theory and Applications,
GreenCom,IEEE International Conference on Green Computing and Communications,
GROUP,International Conference on Supporting Group Work,
GVIZ,Workshop on New Directions in Geovisual Analytics,
GWN,International Global Wordnet Conference,
HAIS,International Conference on Hybrid Artificial Intelligence Systems,
HAPTICS,IEEE Haptics Symposium,
HASE,IEEE International Symposium on High Assurance Systems Engineering,
HCOMP,AAAI Conference on Human Computation and Crowdsourcing,
HCSE,International Conference on Human-Centered Software Engineering,
HEALTHCOM,"IEEE International Conference on E-health Networking, Application & Services",
HEALTHINF,International Conference on Health Informatics,
HEALTHINFO,"International Conference on Informatics and Assistive Technologies for Health-Care, Medical Support and Wellbeing",
HICSS,Hawaii International Conference on System Sciences,
HILDA,Workshop on Human-In-the-Loop Data Analytics,
HIMS,International Conference on Health Informatics and Medical Systems,
HIPC,IEEE International Conference on High Performance Computing,
HIS,International Conference on Hybrid Intelligent Systems,
HM,International Workshop on Hybrid Metaheuristics,
HOST,IEEE International Symposium on Hardware Oriented Security and Trust,
HOTNETS,ACM Workshop on Hot Topics in Networks,
HPCA,IEEE International Symposium on High Performance Computer Architecture,
HPCC,International Conference on High Performance Computing and Communications,
HPCS,International Conference on High Performance Computing & Simulation,
HPDC,International Symposium on High Performance Distributed Computing,
HPSR,IEEE High Performance Switching and Routing,
HRI,ACM/IEEE International Conference on Human Robot Interaction,
HS,Haskell Symposium,
HSCC,International Conference on Hybrid Systems: Computation and Control,
HT,ACM Conference on Hypertext and Social Media,
Humanoids,IEEE RAS International Conference on Humanoid Robot,
Hypertext,ACM Conference on Hypertext and Hypermedia,
i-SAIRAS,"International Symposium on Artificial Intelligence, Robotics and Automation in Space",
I/ITSEC,"Interservice/Industry Training, Simulation & Education Conference",
I2MTC,IEEE International Instrumentation and Measurement Technology Conference,
I3D,ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,
IAAI,International Conference of the Italian Association for Artificial Intelligence,
IAS,Industry Applications Society Annual Meeting,
IAV,IFAC Symposium on Intelligent Autonomous Vehicles,
IBERAMIA,Ibero-American Conference on Artificial Intelligence,
IBERCHIP,Workshop Iberchip,
IC2E,IEEE International Conference on Cloud Engineering,
