evento_id,resultado_numero,sigla,nome_evento,nome_scholar,h5,h5_median,qualis
88,1,ASMS,Advanced Satellite Multimedia Systems Conference,Advanced Satellite Multimedia Systems Conference,NULL,NULL,B4
89,1,ASONAM,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,NULL,NULL,A2
90,1,ASP-DAC,Asia and South Pacific Design Automation Conference,Asia and South Pacific Design Automation Conference (ASP-DAC),34,53,A2
91,1,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS),77,112,A1
92,1,ASPRS,Annual Conference and International Lidar Mapping Forum,Annual Conference and International Lidar Mapping Forum,NULL,NULL,B4
93,1,ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,International ACM SIGACCESS Conference on Computers and Accessibility,NULL,NULL,A2
94,1,AST,IEEE/ACM International Workshop on Automation of Software Testing,IEEE/ACM International Workshop on Automation of Software Testing,NULL,NULL,B3
95,1,ASWEC,Australasian Software Engineering Conference,Australasian Software Engineering Conference,NULL,NULL,B3
96,1,ASYNC,IEEE International Symposium on Asynchronous Circuits and Systems,IEEE International Symposium on Asynchronous Circuits and Systems,NULL,NULL,B2
97,1,ATC,USENIX Annual Technical Conference,USENIX Annual Technical Conference,57,85,A1
98,1,Atech,International Conference on Agreement Technologies,International Conference on Agreement Technologies,NULL,NULL,B3
99,1,ATS,Asian Test Symposium,Asian Test Symposium,10,14,B2
100,1,ATT,International Workshop on Agents in Traffic and Transportation,International Workshop on Agents in Traffic and Transportation,NULL,NULL,B4
101,1,AUDIOMOSTLY,Audio Mostly Conference,International Audio Mostly Conference,13,18,B1
102,1,AusDM,Australasian Data Mining Conference,Australasian Data Mining Conference,NULL,NULL,B3
103,1,AVI,International Working Conference on Advanced Visual Interfaces,International Working Conference on Advanced Visual Interfaces,NULL,NULL,A4
104,1,AVSS,IEEE International Conference on Advanced Video and Signal Based Surveillance,IEEE International Conference on Advanced Video and Signal-Based Surveillance (AVSS),13,22,A2
105,1,BCB,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics","ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",NULL,NULL,A2
106,1,BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,Conference of the British Computer Society Human Computer Interaction Specialist Group,NULL,NULL,B1
107,1,BDCAT,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies","IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",10,13,B1
108,1,BDCLOUD,International Conference on Big Data and Cloud Computing,IEEE International Conference on Big Data and Cloud Computing (BdCloud),7,8,A4
109,1,BENCH,"International Symposium on Benchmarking, Measuring and Optimization","International Symposium on Benchmarking, Measuring and Optimization",NULL,NULL,B2
110,1,BESC,"International Conference on Behavior, Economic and Social Computing","International Conference on Behavior, Economic and Social Computing",NULL,NULL,B3
111,1,BIATA,Bioinformatics: from Algorithms to Applications,Bioinformatics: from Algorithms to Applications,NULL,NULL,B3
112,1,BIBE,IEEE International Conference on BioInformatics and BioEngineering,"IEEE International Conference on Bioinformatics and Bioengineering, BIBE",20,26,A3
113,1,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,IEEE International Conference on Bioinformatics and Biomedicine,31,40,A2
114,1,BICT,EAI International Conference on Bio-inspired Information an Communications Technologies,EAI International Conference on Bio-inspired Information an Communications Technologies,NULL,NULL,B2
115,1,BIGDATA,IEEE International Conference on Big Data,IEEE International Conference on Big Data,55,89,A1
115,2,BIGDATA,IEEE International Conference on Big Data,IEEE International Conference on Big Data Analytics,18,21,A1
115,3,BIGDATA,IEEE International Conference on Big Data,IEEE International Conference on Multimedia Big Data,17,28,A1
115,4,BIGDATA,IEEE International Conference on Big Data,"IEEE International Conference on Information Technology, Big Data and Artificial Intelligence",14,21,A1
115,5,BIGDATA,IEEE International Conference on Big Data,"IEEE International Conference on Electrical Engineering, Big Data and Algorithms",11,17,A1
115,6,BIGDATA,IEEE International Conference on Big Data,IEEE International Conference on Big Data and Artificial Intelligence,10,18,A1
115,7,BIGDATA,IEEE International Conference on Big Data,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",10,13,A1
115,8,BIGDATA,IEEE International Conference on Big Data,IEEE International Conference on Big Data and Cloud Computing (BdCloud),7,8,A1
115,9,BIGDATA,IEEE International Conference on Big Data,"IEEE International Conference on Electronic Communications, Internet of Things and Big Data",6,9,A1
116,1,BigDataSE,IEEE International Conference On Big Data Science And Engineering,IEEE International Conference On Big Data Science And Engineering,NULL,NULL,A3
117,1,BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,IEEE International Conference on Big Data Computing Service and Applications,NULL,NULL,A4
118,1,BIGDSE,IEEE/ACM International Workshop on Big Data Software Engineering,IEEE/ACM International Workshop on Big Data Software Engineering,NULL,NULL,B2
119,1,BigSpatial,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,NULL,NULL,B3
120,1,BioCOMP-WC,International Conference on Bioinformatics & Computational Biology,International Conference on Bioinformatics & Computational Biology,NULL,NULL,B2
121,1,BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,NULL,NULL,A3
122,1,BIOSENSORS,World Congress on Biosensors,World Congress on Biosensors,NULL,NULL,B4
123,1,BIS,International Conference on Business Information Systems,International Conference on Business Information Systems,NULL,NULL,A4
124,1,BLACKSEACOM,IEEE International Black Sea Conference on Communications and Networking,IEEE International Black Sea Conference on Communications and Networking,NULL,NULL,A4
125,1,BLOCKCHAIN,IEEE International Conference on Blockchain,IEEE International Conference on Blockchain and Cryptocurrency,32,53,A4
125,2,BLOCKCHAIN,IEEE International Conference on Blockchain,IEEE International Conference on Blockchain,30,46,A4
125,3,BLOCKCHAIN,IEEE International Conference on Blockchain,IEEE International Conference on Blockchain and Distributed Systems Security,9,13,A4
126,1,BMEI,International Conference BioMedical Engineering and Informatics,International Conference on Biomedical Engineering and Informatics,15,21,A4
127,1,BMVC,British Machine Vision Conference,British Machine Vision Conference (BMVC),57,96,A1
128,1,BPM,International Conference on Business Process Management,International Conference on Business Process Management,NULL,NULL,A2
129,1,BPMS2,Workshop on Social and Human Aspects of Business Process Management,Workshop on Social and Human Aspects of Business Process Management,NULL,NULL,B4
130,1,BRACIS,Brazilian Conference on Intelligent Systems,Brazilian Conference on Intelligent Systems (BRACIS),18,25,A4
131,1,BRAHUR,Brazilian Humanoid Robot Workshop,Brazilian Humanoid Robot Workshop,NULL,NULL,B4
132,1,BRAINS,"Blockchain, Robotics and AI for Networking Security Conference","Blockchain, Robotics and AI for Networking Security Conference",NULL,NULL,B4
133,1,BRASERO,Brazilian Workshop on Service Robotics,Brazilian Workshop on Service Robotics,NULL,NULL,B4
134,1,BRASNAM,Brazilian Workshop on Social Network Analysis and Mining,Brazilian Workshop on Social Network Analysis and Mining (BraSNAM),8,11,B4
135,1,BRESCI,Brazilian e-Science Workshop,Brazilian e-Science Workshop,NULL,NULL,B4
136,1,BSB,Brazilian Symposium on Bioinformatics,Brazilian Symposium on Bioinformatics,NULL,NULL,B1
137,1,BSN,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,NULL,NULL,A3
138,1,BTAS,"IEEE International Conference on Biometrics: Theory, Applications, and Systems",IEEE International Conference on Biometrics: Theory Applications and Systems (BTAS),34,52,A2
139,1,C&T,International Conference on Communities and Technologies,International Conference on Communities and Technologies,NULL,NULL,B3
140,1,C4BIE,"International Workshop on Cloud for Business, Industry and Enterprises","International Workshop on Cloud for Business, Industry and Enterprises",NULL,NULL,B4
141,1,CAD,International CAD Conference,International CAD Conference,NULL,NULL,A4
142,1,CADE,International Conference on Automated Deduction,International Conference on Automated Deduction,24,37,A3
143,1,CAIP,International Conference on Computer Analysis of Images and Patterns,International Conference on Computer Analysis of Images and Patterns,11,15,B1
144,1,CAISE,International Conference on Advanced Information Systems Engineering,International Conference on Advanced Information Systems Engineering,24,44,A3
145,1,CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,International Conference on Algorithms and Discrete Applied Mathematics,NULL,NULL,B3
146,1,CAMAD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD),17,22,A4
147,1,CANDAR,International Symposium on Computing and Networking,ACM International Symposium on Mobile Ad Hoc Networking and Computing,22,32,B1
147,2,CANDAR,International Symposium on Computing and Networking,International Symposium on Computing and Networking,11,17,B1
148,1,CANS,International Conference on Cryptology and Network Security,International Conference on Cryptology and Network Security,NULL,NULL,A3
149,1,CAPSI,Conferência da Associação Portuguesa de Sistemas de Informação,Conferência da Associação Portuguesa de Sistemas de Informação,NULL,NULL,B4
150,1,CARLA,Latin America High Performance Computing Conference,Latin America High Performance Computing Conference,NULL,NULL,B3
151,1,CASA,Conference on Computer Animation and Social Agents,Conference on Computer Animation and Social Agents,NULL,NULL,B3
152,1,CASCON,Annual International Conference on Computer Science and Software Engineering,Annual International Conference on Computer Science and Software Engineering,NULL,NULL,B1
153,1,CASE,IEEE Conference on Automation Science and Engineering,"IEEE International Conference on Automation Science and Engineering, CASE",30,36,A3
154,1,CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems","International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",NULL,NULL,B4
155,1,CATA,International Conference on Computers and their Applications,International Conference on Computers and their Applications,NULL,NULL,B4
156,1,CATE,Computers and Advanced Technology in Education,Computers and Advanced Technology in Education,NULL,NULL,B4
157,1,CAV,International Conference on Computer Aided Verification,International Conference on Computer Aided Verification (CAV),44,62,A1
158,1,CBA,Congresso Brasileiro de Automática,Congresso Brasileiro de Automática-CBA,8,12,B4
159,1,CBEB,Congresso Brasileiro de Engenharia Biomédica,Congresso Brasileiro de Engenharia Biomédica,NULL,NULL,B4
160,1,CBI,IEEE Conference on Business Informatics,IEEE Conference on Business Informatics,NULL,NULL,A4
161,1,CBIC,Congresso Brasileiro de Inteligência Computacional,Congresso Brasileiro de Inteligência Computacional,NULL,NULL,B4
162,1,CBIS,Congresso Brasileiro de Informática em Saúde,Congresso Brasileiro de Informática em Saúde,NULL,NULL,B4
163,1,CBMI,International Workshop on Content-Based Multimedia Indexing,International Workshop on Content-Based Multimedia Indexing,13,20,A4
164,1,CBMS,International Symposium on Computer-Based Medical Systems,International Symposium on Computer-Based Medical Systems,NULL,NULL,A3
165,1,CBS,IEEE International Conference on Cyborg and Bionic Systems,IEEE International Conference on Cyborg and Bionic Systems,5,7,B3
166,1,CBSF,Congresso Brasileiro de Sistemas Fuzzy,Congresso Brasileiro de Sistemas Fuzzy,NULL,NULL,B4
167,1,CBSoft,Brazilian Conference on Software: Theory and Practice,Brazilian Conference on Software: Theory and Practice,NULL,NULL,B4
168,1,CBTMS,Congresso Brasileiro de Telemedicina e Telesaúde,Congresso Brasileiro de Telemedicina e Telesaúde,NULL,NULL,B4
169,1,CC,International Conference on Compiler Construction,International Conference on Compiler Construction,NULL,NULL,A3
170,1,CCC,IEEE Conference on Computational Complexity,IEEE Conference on Computational Complexity,NULL,NULL,A3
171,1,CCCG,Canadian Conference on Computational Geometry,Canadian Conference on Computational Geometry,8,10,B3
172,1,CCECE,Canadian Conference on Electrical and Computer Engineering,IEEE Canadian Conference on Electrical and Computer Engineering,17,30,A3
173,1,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing","IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",NULL,NULL,A2
174,1,CCNC,Annual IEEE Consumer Communications & Networking Conference,Annual IEEE Consumer Communications & Networking Conference,NULL,NULL,A2
175,1,CCS,ACM Symposium on Computer and Communications Security,ACM Symposium on Computer and Communications Security,90,146,A1
176,1,CCSI,Workshop on Core Computations on Spatial Information,Workshop on Core Computations on Spatial Information,NULL,NULL,B4
177,1,CDC,IEEE Conference on Decision and Control,IEEE Conference on Decision and Control,48,61,A1
178,1,CDH,International Conference on Digital Health,IEEE International Conference on Digital Health,12,15,A4
179,1,CDVE,"International Conference on Cooperative Design, Visualization, and Engineering","International Conference on Cooperative Design, Visualization, and Engineering",NULL,NULL,B2
180,1,CEC,IEEE Congress on Evolutionary Computation,IEEE Congress on Evolutionary Computation,94,137,A1
181,1,CECC,Central European Cybersecurity Conference,Central European Cybersecurity Conference,NULL,NULL,B4
182,1,CELDA,Cognition and Exploratory Learning in Digital Age,Cognition and Exploratory Learning in Digital Age,NULL,NULL,B4
183,1,CENTERIS,Conference on ENTERprise Information Systems,International Conference on Enterprise Information Systems (ICEIS),23,31,A3
184,1,CESI,International Workshop on Conducting Empirical Studies in Industry,International Workshop on Conducting Empirical Studies in Industry,NULL,NULL,B3
185,1,CF,ACM International Conference on Computing Frontiers,ACM International Conference on Computing Frontiers,20,31,A3
186,1,CGI,Computer Graphics International Conference,International Conference on Computer Graphics Theory and Applications (GRAPP),11,14,B1
186,2,CGI,Computer Graphics International Conference,Computer Graphics International Conference,11,13,B1
186,3,CGI,Computer Graphics International Conference,"International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",10,27,B1
186,4,CGI,Computer Graphics International Conference,"International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",7,10,B1
186,5,CGI,Computer Graphics International Conference,"International Conference on Computer Graphics, Image, and Virtualization",2,22,B1
187,1,CGO,International Symposium on Code Generation and Optimization,International Symposium on Code Generation and Optimization,25,39,A2
188,1,CHASE,International Workshop on Cooperative and Human Aspects of Software Engineering,International Workshop on Cooperative and Human Aspects of Software Engineering,NULL,NULL,A3
189,1,CHES,Conference on Cryptographic Hardware and Embedded Systems,Conference on Cryptographic Hardware and Embedded Systems,NULL,NULL,B3
190,1,CHI,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,124,212,A1
191,1,CHIIR,Conference on Human Information Interaction and Retrieval,Conference on Human Information Interaction and Retrieval,29,45,A3
192,1,CHIPlay,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,NULL,NULL,A2
193,1,CIAC,International Conference on Algorithms and Complexity,International Conference on Algorithms and Complexity,NULL,NULL,B2
194,1,CIARP,Iberoamerican Congress on Pattern Recognition,Iberoamerican Congress on Pattern Recognition (CIARP),7,16,A4
195,1,CIBCB,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,NULL,NULL,A4
196,1,CIbSE,Conferencia Iberoamericana de Software Engineering,Conferencia Iberoamericana de Software Engineering,NULL,NULL,B2
197,1,CIC,International Conference on Collaboration and Internet Computing,International Conference on Collaboration and Internet Computing,NULL,NULL,A3
198,1,CICC,IEEE Custom Integrated Circuits Conference,"IEEE Custom Integrated Circuits Conference, CICC",30,39,A3
199,1,CICLING,International Conference on Intelligent Text Processing and Computational Linguistics,International Conference on Intelligent Text Processing and Computational Linguistics,NULL,NULL,A4
200,1,CIDI,Congresso Internacional de Design da Informação,Congresso Internacional de Design da Informação,NULL,NULL,B4
201,1,CIDM,Symposium on Computational Intelligence and Data Mining,Symposium on Computational Intelligence and Data Mining,NULL,NULL,B4
202,1,CIDR,Biennial Conference on Innovative Data Systems Research,Biennial Conference on Innovative Data Systems Research,NULL,NULL,A2
203,1,CIG,IEEE Conference on Computational Intelligence and Games,IEEE Conference on Computational Intelligence and Games (CIG),27,42,B4
204,1,CIKM,ACM International Conference on Information and Knowledge Management,ACM International Conference on Information and Knowledge Management,96,155,A1
205,1,CILAMCE,Iberian Latin American Congress on Computational Methods,Iberian Latin American Congress on Computational Methods,NULL,NULL,B4
206,1,CISCI,"Conferencia Iberoamericana en Sistemas, Cibernética e Informática","Conferencia Iberoamericana en Sistemas, Cibernética e Informática",NULL,NULL,B4
207,1,CISIS,"International Conference on Complex, Intelligent, and Software Intensive Systems","International Conference on Complex, Intelligent and Software Intensive Systems",15,17,A4
208,1,CISTI,Iberian Conference on Information Systems and Technologies,Iberian Conference on Information Systems and Technologies,24,30,A4
209,1,CIT,IEEE International Conference on Computer and Information Technology,IEEE International Conference on Computer and Information Technology,NULL,NULL,B1
210,1,CITS,"International Conference on Computer, Information, and Telecommunication Systems","International Conference on Computer, Information and Telecommunication Systems",14,22,B1
211,1,CL,Corpus Linguistics Conference,Corpus Linguistics Conference,NULL,NULL,B3
