Sigla,Ano Dados,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Origem Cadastro,Anais,SOL ID,GS ID,DBLP ID
ADMS,2025,International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures,,,,,,Qualis 2017-2020,,,,
ADVANCE,2025,International Workshop on Advances in ICT Infrastructures and Services,,,,,,Qualis 2017-2020,,,,
AES,2025,International Convention of the Audio Engineering Society,,,,,,Qualis 2017-2020,,,,
AES-ICSA,2025,AES International Conference on Semantic Audio,,,,,,Qualis 2017-2020,,,,
AFRICACRYPT,2025,International Conference on Cryptology in Africa,,,,,,Qualis 2017-2020,,,,
AGILEGIS,2025,Conference on Geographic Information Science,,,,,,Qualis 2017-2020,,,,
AH,2025,Augmented Human International Conference,,,,,,Qualis 2017-2020,,,,
AHS,2025,NASA/ESA Conference on Adaptive Hardware and Systems,,,,,,Qualis 2017-2020,,,,
AI,2025,Canadian Conference on Artificial Intelligence,,,,,,Qualis 2017-2020,,,,
AIC,2025,International Workshop on Artificial Intelligence and Cognition,,,,,,Qualis 2017-2020,,,,
AICCSA,2025,ACS/IEEE International Conference on Computer Systems and Applications,,,,,,Qualis 2017-2020,,,,
AICT,2025,International Conference on Application of Information and Communication Technologies,,,,,,Qualis 2017-2020,,,,
AICT-IARIA,2025,IARIA Advanced International Conference on Telecommunications,,,,,,Qualis 2017-2020,,,,
AIED,2025,International Conference on Artificial Intelligence in Education,,,,,,Qualis 2017-2020,,,,
AIES,2025,"AAAI/ACM Conference on AI, Ethics, and Society",,,,,,Qualis 2017-2020,,,,
AIIDE,2025,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,,,,,,Qualis 2017-2020,,,,
AIM,2025,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,,,,,,Qualis 2017-2020,,,,
AIME,2025,Conference on Artificial Intelligence in Medicine,,,,,,Qualis 2017-2020,,,,
AIML,2025,Advances in Modal Logic,,,,,,Qualis 2017-2020,,,,
AIMS,2025,"International Conference on Autonomous Infrastructure, Management and Security",,,,,,Qualis 2017-2020,,,,
AINA,2025,IEEE International Conference on Advanced Information Networking and Applications,,,,,,Qualis 2017-2020,,,,
AINAW,2025,IEEE International Conference on Advanced Information Networking and Applications Workshops,,,,,,Qualis 2017-2020,,,,
AIPR,2025,Applied Imagery Pattern Recognition Workshop,,,,,,Qualis 2017-2020,,,,
AISTATS,2025,International Conference on Artificial Intelligence and Statistics,,,,,,Qualis 2017-2020,,,,
AITest,2025,IEEE International Conference On Artificial Intelligence Testing,,,,,,Qualis 2017-2020,,,,
AITM,2025,Conference on Advanced Information Technologies for Management,,,,,,Qualis 2017-2020,,,,
AlCoB,2025,International Conference on Algorithms for Computational Biology,,,,,,Qualis 2017-2020,,,,
ALENEX,2025,SIAM Symposium on Algorithm Engineering and Experiments,,,,,,Qualis 2017-2020,,,,
ALIO/EURO,2025,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,,,,,,Qualis 2017-2020,,,,
ALLERTON,2025,"Allerton Conference on Communication, Control, and Computing",,,,,,Qualis 2017-2020,,,,
AMCIS,2025,Americas Conference on Information Systems,,,,,,Qualis 2017-2020,,,,
AMD,2025,Workshop on Analysis of Movement Data,,,,,,Qualis 2017-2020,,,,
AMIA,2025,Annual Symposium of the American Medical Informatics Association,,,,,,Qualis 2017-2020,,,,
AMW,2025,Alberto Mendelzon International Workshop on Foundations of Data Management,,,,,,Qualis 2017-2020,,,,
ANCS,2025,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,,,,,,Qualis 2017-2020,,,,
ANPPOM,2025,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,,,,,,Qualis 2017-2020,,,,
ANSS,2025,Annual Simulation Symposium,,,,,,Qualis 2017-2020,,,,
ANT,2025,"International Conference on Ambient Systems, Networks and Technologies",,,,,,Qualis 2017-2020,,,,
ANTS,2025,IEEE International Conference on Advanced Networks and Telecommuncations Systems,,,,,,Qualis 2017-2020,,,,
APCCAS,2025,IEEE Asia Pacific Conference on Circuits and Systems,,,,,,Qualis 2017-2020,,,,
APKC,2025,ACM on ASIA Public-Key Cryptography Workshop,,,,,,Qualis 2017-2020,,,,
APLAS,2025,Asian Symposium on Programming Languages and Systems,,,,,,Qualis 2017-2020,,,,
APNOMS,2025,Asia-Pacific Network Operations and Management Symposium,,,,,,Qualis 2017-2020,,,,
APPROX-RANDOM,2025,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,,,,,,Qualis 2017-2020,,,,
APWEB,2025,Asia-Pacific Web Conference,,,,,,Qualis 2017-2020,,,,
ARC,2025,International Symposium on Applied Reconfigurable Computing,,,,,,Qualis 2017-2020,,,,
ARCS,2025,International Conference on Architecture of Computing Systems,,,,,,Qualis 2017-2020,,,,
ARES,2025,"International Conference on Availability, Reliability and Security",,,,,,Qualis 2017-2020,,,,
ARIC,2025,International Workshop on Intelligent and Resilient Cities,,,,,,Qualis 2017-2020,,,,
ARM,2025,Workshop on Adaptive and Reflective Middleware,,,,,,Qualis 2017-2020,,,,
ARSO,2025,IEEE Workshop on Advanced Robotics and its Social Impacts,,,,,,Qualis 2017-2020,,,,
ASAP,2025,"IEEE International Conference on Application-specific Systems, Architectures and Processors",,,,,,Qualis 2017-2020,,,,
ASE,2025,IEEE/ACM International Conference on Automated Software Engineering,,,,,,Qualis 2017-2020,,,,
ASIACCS,2025,"ACM ASIA Symposium on Information, Computer and Communications Security",,,,,,Qualis 2017-2020,,,,
ASIACRYPT,2025,Annual International Conference on the Theory and Applications of Cryptology and Information Security,,,,,,Qualis 2017-2020,,,,
ASID,2025,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",,,,,,Qualis 2017-2020,,,,
ASMS,2025,Advanced Satellite Multimedia Systems Conference,,,,,,Qualis 2017-2020,,,,
ASONAM,2025,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,,,,,Qualis 2017-2020,,,,
ASP-DAC,2025,Asia and South Pacific Design Automation Conference,,,,,,Qualis 2017-2020,,,,
ASPLOS,2025,International Conference on Architectural Support for Programming Languages and Operating Systems,,,,,,Qualis 2017-2020,,,,
ASPRS,2025,Annual Conference and International Lidar Mapping Forum,,,,,,Qualis 2017-2020,,,,
ASSETS,2025,International ACM SIGACCESS Conference on Computers and Accessibility,,,,,,Qualis 2017-2020,,,,
AST,2025,IEEE/ACM International Workshop on Automation of Software Testing,,,,,,Qualis 2017-2020,,,,
ASWEC,2025,Australasian Software Engineering Conference,,,,,,Qualis 2017-2020,,,,
ASYNC,2025,IEEE International Symposium on Asynchronous Circuits and Systems,,,,,,Qualis 2017-2020,,,,
ATC,2025,USENIX Annual Technical Conference,,,,,,Qualis 2017-2020,,,,
Atech,2025,International Conference on Agreement Technologies,,,,,,Qualis 2017-2020,,,,
ATS,2025,Asian Test Symposium,,,,,,Qualis 2017-2020,,,,
ATT,2025,International Workshop on Agents in Traffic and Transportation,,,,,,Qualis 2017-2020,,,,
AUDIOMOSTLY,2025,Audio Mostly Conference,,,,,,Qualis 2017-2020,,,,
AusDM,2025,Australasian Data Mining Conference,,,,,,Qualis 2017-2020,,,,
AVI,2025,International Working Conference on Advanced Visual Interfaces,,,,,,Qualis 2017-2020,,,,
AVSS,2025,IEEE International Conference on Advanced Video and Signal Based Surveillance,,,,,,Qualis 2017-2020,,,,
BCB,2025,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",,,,,,Qualis 2017-2020,,,,
BCS-HCI,2025,Conference of the British Computer Society Human Computer Interaction Specialist Group,,,,,,Qualis 2017-2020,,,,
BDCAT,2025,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",,,,,,Qualis 2017-2020,,,,
BDCLOUD,2025,International Conference on Big Data and Cloud Computing,,,,,,Qualis 2017-2020,,,,
BENCH,2025,"International Symposium on Benchmarking, Measuring and Optimization",,,,,,Qualis 2017-2020,,,,
BESC,2025,"International Conference on Behavior, Economic and Social Computing",,,,,,Qualis 2017-2020,,,,
BIATA,2025,Bioinformatics: from Algorithms to Applications,,,,,,Qualis 2017-2020,,,,
BIBE,2025,IEEE International Conference on BioInformatics and BioEngineering,,,,,,Qualis 2017-2020,,,,
BIBM,2025,IEEE International Conference on Bioinformatics and Biomedicine,,,,,,Qualis 2017-2020,,,,
BICT,2025,EAI International Conference on Bio-inspired Information an Communications Technologies,,,,,,Qualis 2017-2020,,,,
BIGDATA,2025,IEEE International Conference on Big Data,,,,,,Qualis 2017-2020,,,,
BigDataSE,2025,IEEE International Conference On Big Data Science And Engineering,,,,,,Qualis 2017-2020,,,,
BIGDATASERVICE,2025,IEEE International Conference on Big Data Computing Service and Applications,,,,,,Qualis 2017-2020,,,,
BIGDSE,2025,IEEE/ACM International Workshop on Big Data Software Engineering,,,,,,Qualis 2017-2020,,,,
BigSpatial,2025,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,,,,,,Qualis 2017-2020,,,,
BioCOMP-WC,2025,International Conference on Bioinformatics & Computational Biology,,,,,,Qualis 2017-2020,,,,
BioRob,2025,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,,,,,,Qualis 2017-2020,,,,
BIOSENSORS,2025,World Congress on Biosensors,,,,,,Qualis 2017-2020,,,,
BIS,2025,International Conference on Business Information Systems,,,,,,Qualis 2017-2020,,,,
BLACKSEACOM,2025,IEEE International Black Sea Conference on Communications and Networking,,,,,,Qualis 2017-2020,,,,
BLOCKCHAIN,2025,IEEE International Conference on Blockchain,,,,,,Qualis 2017-2020,,,,
BMEI,2025,International Conference BioMedical Engineering and Informatics,,,,,,Qualis 2017-2020,,,,
BMVC,2025,British Machine Vision Conference,,,,,,Qualis 2017-2020,,,,
BPM,2025,International Conference on Business Process Management,,,,,,Qualis 2017-2020,,,,
BPMS2,2025,Workshop on Social and Human Aspects of Business Process Management,,,,,,Qualis 2017-2020,,,,
BRACIS,2025,Brazilian Conference on Intelligent Systems,,,,,,Qualis 2017-2020,,,,
BRAHUR,2025,Brazilian Humanoid Robot Workshop,,,,,,Qualis 2017-2020,,,,
BRAINS,2025,"Blockchain, Robotics and AI for Networking Security Conference",,,,,,Qualis 2017-2020,,,,
BRASERO,2025,Brazilian Workshop on Service Robotics,,,,,,Qualis 2017-2020,,,,
BRASNAM,2025,Brazilian Workshop on Social Network Analysis and Mining,,,,,,Qualis 2017-2020,,,,
BRESCI,2025,Brazilian e-Science Workshop,,,,,,Qualis 2017-2020,,,,
BSB,2025,Brazilian Symposium on Bioinformatics,,,,,,Qualis 2017-2020,,,,
BSN,2025,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,,,,,,Qualis 2017-2020,,,,
BTAS,2025,"IEEE International Conference on Biometrics: Theory, Applications, and Systems",,,,,,Qualis 2017-2020,,,,
C&T,2025,International Conference on Communities and Technologies,,,,,,Qualis 2017-2020,,,,
C4BIE,2025,"International Workshop on Cloud for Business, Industry and Enterprises",,,,,,Qualis 2017-2020,,,,
CAD,2025,International CAD Conference,,,,,,Qualis 2017-2020,,,,
CADE,2025,International Conference on Automated Deduction,,,,,,Qualis 2017-2020,,,,
CAIP,2025,International Conference on Computer Analysis of Images and Patterns,,,,,,Qualis 2017-2020,,,,
CAISE,2025,International Conference on Advanced Information Systems Engineering,,,,,,Qualis 2017-2020,,,,
CALDAM,2025,International Conference on Algorithms and Discrete Applied Mathematics,,,,,,Qualis 2017-2020,,,,
CAMAD,2025,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,,,,,,Qualis 2017-2020,,,,
CANDAR,2025,International Symposium on Computing and Networking,,,,,,Qualis 2017-2020,,,,
CANS,2025,International Conference on Cryptology and Network Security,,,,,,Qualis 2017-2020,,,,
CAPSI,2025,Conferência da Associação Portuguesa de Sistemas de Informação,,,,,,Qualis 2017-2020,,,,
CARLA,2025,Latin America High Performance Computing Conference,,,,,,Qualis 2017-2020,,,,
CASA,2025,Conference on Computer Animation and Social Agents,,,,,,Qualis 2017-2020,,,,
CASCON,2025,Annual International Conference on Computer Science and Software Engineering,,,,,,Qualis 2017-2020,,,,
CASE,2025,IEEE Conference on Automation Science and Engineering,,,,,,Qualis 2017-2020,,,,
CASES,2025,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",,,,,,Qualis 2017-2020,,,,
CATA,2025,International Conference on Computers and their Applications,,,,,,Qualis 2017-2020,,,,
CATE,2025,Computers and Advanced Technology in Education,,,,,,Qualis 2017-2020,,,,
CAV,2025,International Conference on Computer Aided Verification,,,,,,Qualis 2017-2020,,,,
CBA,2025,Congresso Brasileiro de Automática,,,,,,Qualis 2017-2020,,,,
CBEB,2025,Congresso Brasileiro de Engenharia Biomédica,,,,,,Qualis 2017-2020,,,,
CBI,2025,IEEE Conference on Business Informatics,,,,,,Qualis 2017-2020,,,,
CBIC,2025,Congresso Brasileiro de Inteligência Computacional,,,,,,Qualis 2017-2020,,,,
CBIS,2025,Congresso Brasileiro de Informática em Saúde,,,,,,Qualis 2017-2020,,,,
CBMI,2025,International Workshop on Content-Based Multimedia Indexing,,,,,,Qualis 2017-2020,,,,
CBMS,2025,International Symposium on Computer-Based Medical Systems,,,,,,Qualis 2017-2020,,,,
CBS,2025,IEEE International Conference on Cyborg and Bionic Systems,,,,,,Qualis 2017-2020,,,,
CBSF,2025,Congresso Brasileiro de Sistemas Fuzzy,,,,,,Qualis 2017-2020,,,,
CBSoft,2025,Brazilian Conference on Software: Theory and Practice,,,,,,Qualis 2017-2020,,,,
CBTMS,2025,Congresso Brasileiro de Telemedicina e Telesaúde,,,,,,Qualis 2017-2020,,,,
CC,2025,International Conference on Compiler Construction,,,,,,Qualis 2017-2020,,,,
CCC,2025,IEEE Conference on Computational Complexity,,,,,,Qualis 2017-2020,,,,
CCCG,2025,Canadian Conference on Computational Geometry,,,,,,Qualis 2017-2020,,,,
CCECE,2025,Canadian Conference on Electrical and Computer Engineering,,,,,,Qualis 2017-2020,,,,
CCGRID,2025,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",,,,,,Qualis 2017-2020,,,,
CCNC,2025,Annual IEEE Consumer Communications & Networking Conference,,,,,,Qualis 2017-2020,,,,
CCS,2025,ACM Symposium on Computer and Communications Security,,,,,,Qualis 2017-2020,,,,
CCSI,2025,Workshop on Core Computations on Spatial Information,,,,,,Qualis 2017-2020,,,,
CDC,2025,IEEE Conference on Decision and Control,,,,,,Qualis 2017-2020,,,,
CDH,2025,International Conference on Digital Health,,,,,,Qualis 2017-2020,,,,
CDVE,2025,"International Conference on Cooperative Design, Visualization, and Engineering",,,,,,Qualis 2017-2020,,,,
CEC,2025,IEEE Congress on Evolutionary Computation,,,,,,Qualis 2017-2020,,,,
CECC,2025,Central European Cybersecurity Conference,,,,,,Qualis 2017-2020,,,,
CELDA,2025,Cognition and Exploratory Learning in Digital Age,,,,,,Qualis 2017-2020,,,,
CENTERIS,2025,Conference on ENTERprise Information Systems,,,,,,Qualis 2017-2020,,,,
CESI,2025,International Workshop on Conducting Empirical Studies in Industry,,,,,,Qualis 2017-2020,,,,
CF,2025,ACM International Conference on Computing Frontiers,,,,,,Qualis 2017-2020,,,,
CGI,2025,Computer Graphics International Conference,,,,,,Qualis 2017-2020,,,,
CGO,2025,International Symposium on Code Generation and Optimization,,,,,,Qualis 2017-2020,,,,
CHASE,2025,International Workshop on Cooperative and Human Aspects of Software Engineering,,,,,,Qualis 2017-2020,,,,
CHES,2025,Conference on Cryptographic Hardware and Embedded Systems,,,,,,Qualis 2017-2020,,,,
CHI,2025,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,,,,,,Qualis 2017-2020,,,,
CHIIR,2025,Conference on Human Information Interaction and Retrieval,,,,,,Qualis 2017-2020,,,,
CHIPlay,2025,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,,,,,,Qualis 2017-2020,,,,
CIAC,2025,International Conference on Algorithms and Complexity,,,,,,Qualis 2017-2020,,,,
CIARP,2025,Iberoamerican Congress on Pattern Recognition,,,,,,Qualis 2017-2020,,,,
CIBCB,2025,IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology,,,,,,Qualis 2017-2020,,,,
CIbSE,2025,Conferencia Iberoamericana de Software Engineering,,,,,,Qualis 2017-2020,,,,
CIC,2025,International Conference on Collaboration and Internet Computing,,,,,,Qualis 2017-2020,,,,
CICC,2025,IEEE Custom Integrated Circuits Conference,,,,,,Qualis 2017-2020,,,,
CICLING,2025,International Conference on Intelligent Text Processing and Computational Linguistics,,,,,,Qualis 2017-2020,,,,
CIDI,2025,Congresso Internacional de Design da Informação,,,,,,Qualis 2017-2020,,,,
CIDM,2025,Symposium on Computational Intelligence and Data Mining,,,,,,Qualis 2017-2020,,,,
CIDR,2025,Biennial Conference on Innovative Data Systems Research,,,,,,Qualis 2017-2020,,,,
CIG,2025,IEEE Conference on Computational Intelligence and Games,,,,,,Qualis 2017-2020,,,,
CIKM,2025,ACM International Conference on Information and Knowledge Management,,,,,,Qualis 2017-2020,,,,
CILAMCE,2025,Iberian Latin American Congress on Computational Methods,,,,,,Qualis 2017-2020,,,,
CISCI,2025,"Conferencia Iberoamericana en Sistemas, Cibernética e Informática",,,,,,Qualis 2017-2020,,,,
CISIS,2025,"International Conference on Complex, Intelligent, and Software Intensive Systems",,,,,,Qualis 2017-2020,,,,
CISTI,2025,Iberian Conference on Information Systems and Technologies,,,,,,Qualis 2017-2020,,,,
CIT,2025,IEEE International Conference on Computer and Information Technology,,,,,,Qualis 2017-2020,,,,
CITS,2025,"International Conference on Computer, Information, and Telecommunication Systems",,,,,,Qualis 2017-2020,,,,
CL,2025,Corpus Linguistics Conference,,,,,,Qualis 2017-2020,,,,
CLAIO,2025,Latin-Ibero-American Conference on Operations Research,,,,,,Qualis 2017-2020,,,,
CLEF,2025,Conference and Labs of the Evaluation Forum,,,,,,Qualis 2017-2020,,,,
CLEI,2025,Conferencia Latinoamericana de Informática,,,,,,Qualis 2017-2020,,,,
CLIHC,2025,Latin American Conference on Human Computer Interaction,,,,,,Qualis 2017-2020,,,,
CLOSER,2025,International Conference on Cloud Computing and Services Science,,,,,,Qualis 2017-2020,,,,
CLOUD,2025,IEEE International Conference on Cloud Computing,,,,,,Qualis 2017-2020,,,,
CloudCom,2025,IEEE International Conference on Cloud Computing Technology and Science,,,,,,Qualis 2017-2020,,,,
CLOUDCOMPUTING-IARIA,2025,"IARIA International Conference on Cloud Computing, GRIDs, and Virtualization",,,,,,Qualis 2017-2020,,,,
CLOUDDB,2025,IEEE International workshop on Cloud data management,,,,,,Qualis 2017-2020,,,,
CloudNet,2025,IEEE International Conference on Cloud Networking,,,,,,Qualis 2017-2020,,,,
CLOUDTECH,2025,International Conference on Cloud Computing Technologies and Applications,,,,,,Qualis 2017-2020,,,,
CLUSTER,2025,IEEE International Conference on Cluster Computing,,,,,,Qualis 2017-2020,,,,
CMMR,2025,International Symposium on Computer Music Multidisciplinary Research,,,,,,Qualis 2017-2020,,,,
CMN,2025,Congress on Numerical Methods in Engineering,,,,,,Qualis 2017-2020,,,,
CNMAC,2025,Congresso Nacional de Matemática Aplicada e Computacional,,,SBMAC,,,Qualis 2017-2020,,,,
CNS,2025,IEEE Conference on Communications and Network Security,,,,,,Qualis 2017-2020,,,,
CNSM,2025,International Conference on Network and Service Management,,,,,,Qualis 2017-2020,,,,
CoARCH,2025,Workshop On Computing Techniques For Spatio-Temporal Data in Archaeology And Cultural Heritage,,,,,,Qualis 2017-2020,,,,
COCOA,2025,International Conference on Combinatorial Optimization and Applications,,,,,,Qualis 2017-2020,,,,
COCOON,2025,International Computing and Combinatorics Conference,,,,,,Qualis 2017-2020,,,,
CODASPY,2025,ACM Conference on Data and Application Security and Privacy,,,,,,Qualis 2017-2020,,,,
CODES+ISS,2025,IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis,,,,,,Qualis 2017-2020,,,,
COG,2025,IEEE Conference on Games,,,,,,Qualis 2017-2020,,,,
COGNISE,2025,International Workshop on Cognitive Aspects of Information Systems Engineering,,,,,,Qualis 2017-2020,,,,
COGSCI,2025,Annual Meeting of the Cognitive Science Society,,,,,,Qualis 2017-2020,,,,
CogSIMA,2025,IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support,,,,,,Qualis 2017-2020,,,,
ColCACI,2025,IEEE Colombian Conference on Applications in Computational Intelligence,,,,,,Qualis 2017-2020,,,,
COLING,2025,International Conference on Computational Linguistics,,,,,,Qualis 2017-2020,,,,
CollaborateCom,2025,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",,,,,,Qualis 2017-2020,,,,
CollabTech,2025,International Conference on Collaboration Technologies and Social Computing,,,,,,Qualis 2017-2020,,,,
COLT,2025,Conference on Learning Theory,,,,,,Qualis 2017-2020,,,,
CoMeSySo,2025,Computational Methods in Systems and Software,,,,,,Qualis 2017-2020,,,,
COMMA,2025,International Conference on Computational Models of Argument,,,,,,Qualis 2017-2020,,,,
COMPSAC,2025,IEEE Computer Software and Applications Conference,,,,,,Qualis 2017-2020,,,,
COMSNETS,2025,International Conference on Communication Systems & NetworkS,,,,,,Qualis 2017-2020,,,,
COMSOC,2025,International Workshop on Computational Social Choice,,,,,,Qualis 2017-2020,,,,
CONCUR,2025,International Conference on Concurrency Theory,,,,,,Qualis 2017-2020,,,,
CONEXT,2025,Conference on Emerging Network Experiment and Technology,,,,,,Qualis 2017-2020,,,,
CONFIRM,2025,International Conference on Information Resources Management,,,,,,Qualis 2017-2020,,,,
CONISOFT,2025,International Conference in Software Engineering Research and Innovation,,,,,,Qualis 2017-2020,,,,
CoNLL,2025,Conference on Natural Language Learning,,,,,,Qualis 2017-2020,,,,
CONTECSI,2025,International Conference on Information Systems and Technology Management,,,,,,Qualis 2017-2020,,,,
CONTEXT-BPM,2025,International Workshop on Context for Business Process Management,,,,,,Qualis 2017-2020,,,,
CONTROLO,2025,APCA International Conference on Automatic Control and Soft Computing,,,,,,Qualis 2017-2020,,,,
CoopIS,2025,International Conference on Cooperative Information Systems,,,,,,Qualis 2017-2020,,,,
CoRL,2025,Conference on Robot Learning,,,,,,Qualis 2017-2020,,,,
COSIT,2025,International Conference on Spatial Information Theory,,,,,,Qualis 2017-2020,,,,
COSN,2025,Conference on Online Social Networks,,,,,,Qualis 2017-2020,,,,
COURB,2025,Workshop of Urban Computing,,,,,,Qualis 2017-2020,,,,
CP,2025,International Conference on Principles and Practice of Constraint Programming,,,,,,Qualis 2017-2020,,,,
CPM,2025,Annual Symposium on Combinatorial Pattern Matching,,,,,,Qualis 2017-2020,,,,
CPP,2025,International Conference on Certified Programs and Proofs,,,,,,Qualis 2017-2020,,,,
CRIWG,2025,International Workshop on Groupware,,,,,,Qualis 2017-2020,,,,
CrownCom,2025,International Conference on Cognitive Radio Oriented Wireless Networks,,,,,,Qualis 2017-2020,,,,
CRV,2025,Canadian Conference on Computer and Robot Vision,,,,,,Qualis 2017-2020,,,,
CRYPTO,2025,International Cryptology Conference,,,,,,Qualis 2017-2020,,,,
CSBC,2025,Congresso da Sociedade Brasileira de Computação,,,,,,Qualis 2017-2020,,,,
CSBIO,2025,International Conference on Computational Systems-Biology and Bioinformatics,,,,,,Qualis 2017-2020,,,,
CSCL,2025,International Conference on Computer Supported Collaborative Learning,,,,,,Qualis 2017-2020,,,,
CSCN,2025,IEEE Conference on Standards for Communications and Networking,,,,,,Qualis 2017-2020,,,,
CSCW,2025,ACM Conference on Computer Supported Cooperative Work & Social Computing,,,,,,Qualis 2017-2020,,,,
CSCWD,2025,IEEE International Conference on Computer Supported Cooperative Work in Design,,,,,,Qualis 2017-2020,,,,
CSDS,2025,Conference of the System Dynamics Society,,,,,,Qualis 2017-2020,,,,
CSE,2025,International Conference on Computational Science and Engineering,,,,,,Qualis 2017-2020,,,,
CSEDU,2025,International Conference on Computer Supported Education,,,,,,Qualis 2017-2020,,,,
CSEE&T,2025,Conference on Software Engineering Education and Training,,,,,,Qualis 2017-2020,,,,
CSF,2025,IEEE Computer Security Foundations Symposium,,,,,,Qualis 2017-2020,,,,
CSI-SE,2025,International Workshop on Crowdsourcing in Software Engineering,,,,,,Qualis 2017-2020,,,,
CSL,2025,Conference for Computer Science Logic,,,,,,Qualis 2017-2020,,,,
CSMC,2025,Conference on Computer Simulation of Musical Creativity,,,,,,Qualis 2017-2020,,,,
CSNDSP,2025,"International Symposium on Communication Systems, Networks and Digital Signal Processing",,,,,,Qualis 2017-2020,,,,
